symbol,horizon,horizon_h,q_long,q_short,test_auc,n_trades,n_long,n_short,win_rate,avg_ret_pct,pnl_pct,sharpe,n_windows,pnl_positive,consistency
DOGE/USDT,36,3.0,80,20,0.513875,174,92,82,0.505075,-0.045275,-7.727,-0.0309,4,3,3/4
DOGE/USDT,36,3.0,85,15,0.513875,158,89,69,0.513225,-0.014924999999999994,-2.3750999999999998,-0.011050000000000004,4,2,2/4
DOGE/USDT,36,3.0,90,10,0.513875,137,77,60,0.439075,-0.22912500000000002,-31.5018,-0.202975,4,0,0/4
DOGE/USDT,72,6.0,80,20,0.508425,90,51,39,0.34165,-0.34440000000000004,-30.0915,-0.22655,4,1,1/4
DOGE/USDT,72,6.0,85,15,0.508425,86,45,41,0.358225,-0.2079,-17.4903,-0.189675,4,1,1/4
DOGE/USDT,72,6.0,90,10,0.508425,76,41,35,0.32595,-0.3428,-25.788800000000002,-0.25739999999999996,4,0,0/4
DOGE/USDT,144,12.0,80,20,0.5154,49,25,24,0.633,0.1052,5.346100000000001,0.145575,4,2,2/4
DOGE/USDT,144,12.0,85,15,0.5154,48,29,19,0.604175,0.27797499999999997,13.3426,0.17405,4,3,3/4
DOGE/USDT,144,12.0,90,10,0.5154,46,25,21,0.54355,-0.17365,-7.790900000000001,-0.0831,4,1,1/4
DOGE/USDT,288,24.0,80,20,0.54215,26,13,13,0.535725,0.5174000000000001,14.2941,0.290275,4,3,3/4
DOGE/USDT,288,24.0,85,15,0.54215,26,13,13,0.619075,1.334225,34.022800000000004,0.58785,4,4,4/4
DOGE/USDT,288,24.0,90,10,0.54215,25,14,11,0.47025,0.273825,7.645600000000001,0.175525,4,3,3/4
ETH/USDT,6,0.5,80,20,0.520425,802,409,393,0.33275,-0.15489999999999998,-127.3158,-0.28715,4,0,0/4
ETH/USDT,6,0.5,85,15,0.520425,686,346,340,0.362925,-0.131225,-92.6864,-0.24412499999999998,4,0,0/4
ETH/USDT,6,0.5,90,10,0.520425,533,273,260,0.3835,-0.117925,-64.5174,-0.218775,4,0,0/4
ETH/USDT,12,1.0,80,20,0.523425,426,222,204,0.38739999999999997,-0.18212499999999998,-77.63820000000001,-0.23865,4,0,0/4
ETH/USDT,12,1.0,85,15,0.523425,376,192,184,0.379775,-0.163025,-61.0147,-0.2322,4,0,0/4
ETH/USDT,12,1.0,90,10,0.523425,301,160,141,0.38305,-0.144125,-42.746900000000004,-0.216575,4,0,0/4
ETH/USDT,36,3.0,80,20,0.5241750000000001,180,92,88,0.439125,-0.155175,-28.1843,-0.12342499999999999,4,1,1/4
ETH/USDT,36,3.0,85,15,0.5241750000000001,166,88,78,0.481475,-0.041124999999999995,-7.064599999999998,-0.026825,4,2,2/4
ETH/USDT,36,3.0,90,10,0.5241750000000001,138,72,66,0.45115,-0.19405,-26.9178,-0.13615,4,1,1/4
ETH/USDT,72,6.0,80,20,0.488475,89,48,41,0.391825,-0.379925,-33.7951,-0.24885000000000002,4,1,1/4
ETH/USDT,72,6.0,85,15,0.488475,86,43,43,0.389975,-0.131025,-12.919500000000001,-0.13505,4,2,2/4
ETH/USDT,72,6.0,90,10,0.488475,76,37,39,0.4447,-0.012975000000000014,-0.5114000000000001,-0.06200000000000001,4,2,2/4
ETH/USDT,144,12.0,80,20,0.53345,49,29,20,0.5144249999999999,-0.36177499999999996,-17.4695,-0.09827499999999999,4,1,1/4
ETH/USDT,144,12.0,85,15,0.53345,48,28,20,0.64585,-0.23345000000000002,-11.206,-0.017425000000000003,4,2,2/4
ETH/USDT,144,12.0,90,10,0.53345,44,25,19,0.503775,-0.371975,-16.3427,-0.16235,4,1,1/4
ETH/USDT,288,24.0,80,20,0.5781000000000001,26,13,13,0.6131,0.8726,22.7759,0.2812,4,3,3/4
ETH/USDT,288,24.0,85,15,0.5781000000000001,24,13,11,0.5416749999999999,-0.660025,-15.8402,-0.226275,4,0,0/4
ETH/USDT,288,24.0,90,10,0.5781000000000001,24,9,15,0.5,0.558475,13.4034,0.18065,4,1,1/4
LINK/USDT,6,0.5,80,20,0.50755,864,432,432,0.37615,-0.140725,-121.61,-0.258225,4,0,0/4
LINK/USDT,6,0.5,85,15,0.50755,724,362,362,0.40149999999999997,-0.11624999999999999,-83.7572,-0.220075,4,0,0/4
LINK/USDT,6,0.5,90,10,0.50755,572,296,276,0.3832,-0.13119999999999998,-75.1011,-0.236975,4,0,0/4
LINK/USDT,12,1.0,80,20,0.5036,426,211,215,0.390825,-0.13570000000000002,-56.9942,-0.177225,4,0,0/4
LINK/USDT,12,1.0,85,15,0.5036,380,185,195,0.37985,-0.125725,-47.2232,-0.17252499999999998,4,0,0/4
LINK/USDT,12,1.0,90,10,0.5036,297,139,158,0.356525,-0.14235,-42.5512,-0.19185,4,0,0/4
LINK/USDT,36,3.0,80,20,0.50635,177,85,92,0.41842500000000005,-0.13485,-24.4439,-0.13037500000000002,4,1,1/4
LINK/USDT,36,3.0,85,15,0.50635,163,78,85,0.37912500000000005,-0.327375,-53.2048,-0.2661,4,0,0/4
LINK/USDT,36,3.0,90,10,0.50635,145,67,78,0.39937500000000004,-0.1724,-25.271900000000002,-0.1449,4,0,0/4
LINK/USDT,72,6.0,80,20,0.448,85,43,42,0.482225,0.0589,3.4947999999999997,0.035824999999999996,4,2,2/4
LINK/USDT,72,6.0,85,15,0.448,83,40,43,0.44455,-0.09885000000000001,-9.0251,-0.0434,4,1,1/4
LINK/USDT,72,6.0,90,10,0.448,79,38,41,0.35435,-0.4373,-36.7434,-0.2582,4,1,1/4
LINK/USDT,144,12.0,80,20,0.51815,50,28,22,0.459925,-0.142175,-5.844,-0.031400000000000004,4,2,2/4
LINK/USDT,144,12.0,85,15,0.51815,48,30,18,0.375,-0.48834999999999995,-23.4407,-0.281725,4,1,1/4
LINK/USDT,144,12.0,90,10,0.51815,44,29,15,0.4087,-0.5104500000000001,-22.4433,-0.21545,4,1,1/4
LINK/USDT,288,24.0,80,20,0.514725,24,10,14,0.416675,-0.08677499999999982,-2.082799999999999,-0.1478,4,2,2/4
LINK/USDT,288,24.0,85,15,0.514725,24,9,15,0.5,0.42779999999999996,10.2675,0.104825,4,2,2/4
