symbol,horizon,horizon_h,q_long,q_short,window,test_auc,best_iter,n_trades,n_long,n_short,win_rate,avg_ret_pct,pnl_pct,sharpe
LINK/USDT,12,1.0,90,10,2,0.5021,33,79,38,41,0.3671,-0.1853,-14.6423,-0.2477
LINK/USDT,12,1.0,85,15,2,0.5021,33,100,49,51,0.36,-0.1565,-15.648,-0.2137
LINK/USDT,12,1.0,80,20,2,0.5021,33,114,53,61,0.3246,-0.1715,-19.5453,-0.2358
LINK/USDT,12,1.0,90,10,3,0.4968,2,74,32,42,0.3784,-0.1266,-9.3682,-0.1584
LINK/USDT,12,1.0,85,15,3,0.4968,2,99,53,46,0.3939,-0.1168,-11.5678,-0.1578
LINK/USDT,12,1.0,80,20,3,0.4968,2,110,60,50,0.4091,-0.0929,-10.2147,-0.117
LINK/USDT,12,1.0,90,10,4,0.5019,17,72,33,39,0.4306,-0.0093,-0.6685,-0.0083
LINK/USDT,12,1.0,85,15,4,0.5019,17,95,44,51,0.4632,-0.0291,-2.7669,-0.0252
LINK/USDT,12,1.0,80,20,4,0.5019,17,110,57,53,0.4818,-0.09,-9.8997,-0.0854
LINK/USDT,36,3.0,90,10,1,0.5378,29,36,17,19,0.4444,-0.1013,-3.6485,-0.1208
LINK/USDT,36,3.0,85,15,1,0.5378,29,43,22,21,0.4651,-0.2326,-10.0033,-0.2185
LINK/USDT,36,3.0,80,20,1,0.5378,29,45,21,24,0.4444,-0.314,-14.1294,-0.3148
LINK/USDT,36,3.0,90,10,2,0.4803,14,35,17,18,0.2571,-0.2991,-10.468,-0.2436
LINK/USDT,36,3.0,85,15,2,0.4803,14,41,16,25,0.3415,-0.4205,-17.2422,-0.359
LINK/USDT,36,3.0,80,20,2,0.4803,14,45,18,27,0.3778,-0.2813,-12.6583,-0.2257
LINK/USDT,36,3.0,90,10,3,0.5042,2,39,16,23,0.4103,-0.2587,-10.089,-0.1952
LINK/USDT,36,3.0,85,15,3,0.5042,2,41,20,21,0.3415,-0.3386,-13.8831,-0.282
LINK/USDT,36,3.0,80,20,3,0.5042,2,44,22,22,0.3864,-0.0607,-2.6704,-0.0576
LINK/USDT,36,3.0,90,10,4,0.5031,53,35,17,18,0.4857,-0.0305,-1.0664,-0.02
LINK/USDT,36,3.0,85,15,4,0.5031,53,38,20,18,0.3684,-0.3178,-12.0762,-0.2049
LINK/USDT,36,3.0,80,20,4,0.5031,53,43,24,19,0.4651,0.1166,5.0142,0.0766
LINK/USDT,72,6.0,90,10,1,0.4766,1,17,6,11,0.4118,0.1518,2.5802,0.0919
LINK/USDT,72,6.0,85,15,1,0.4766,1,18,8,10,0.3889,0.0809,1.4565,0.0497
LINK/USDT,72,6.0,80,20,1,0.4766,1,18,9,9,0.4444,0.3098,5.5759,0.188
LINK/USDT,72,6.0,90,10,2,0.4734,1,19,11,8,0.2632,-0.6594,-12.5291,-0.5006
LINK/USDT,72,6.0,85,15,2,0.4734,1,20,10,10,0.5,-0.0328,-0.6557,-0.0201
LINK/USDT,72,6.0,80,20,2,0.4734,1,21,9,12,0.5714,0.1873,3.9341,0.1115
LINK/USDT,72,6.0,90,10,3,0.3896,15,21,11,10,0.3333,-0.5194,-10.9072,-0.3266
LINK/USDT,72,6.0,85,15,3,0.3896,15,23,13,10,0.4348,-0.0671,-1.5444,-0.0439
LINK/USDT,72,6.0,80,20,3,0.3896,15,23,14,9,0.4348,-0.1264,-2.9075,-0.0838
LINK/USDT,72,6.0,90,10,4,0.4524,4,22,10,12,0.4091,-0.7222,-15.8873,-0.2975
LINK/USDT,72,6.0,85,15,4,0.4524,4,22,9,13,0.4545,-0.3764,-8.2815,-0.1593
LINK/USDT,72,6.0,80,20,4,0.4524,4,23,11,12,0.4783,-0.1351,-3.1077,-0.0724
LINK/USDT,144,12.0,90,10,1,0.504,1,10,7,3,0.4,-0.4393,-4.393,-0.2863
LINK/USDT,144,12.0,85,15,1,0.504,1,12,8,4,0.25,-0.4826,-5.7915,-0.2695
LINK/USDT,144,12.0,80,20,1,0.504,1,12,8,4,0.3333,-0.9449,-11.3385,-0.4442
